Team,GP,TOI/GP,W,L,OTL,ROW,Points,Point %,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,SCSF/60,SCSA/60,SCSF%,SCGF/60,SCGA/60,SCGF%,SCSH%,SCSV%,HDCF/60,HDCA/60,HDCF%,HDSF/60,HDSA/60,HDSF%,HDGF/60,HDGA/60,HDGF%,HDSH%,HDSV%,MDCF/60,MDCA/60,MDCF%,MDSF/60,MDSA/60,MDSF%,MDGF/60,MDGA/60,MDGF%,MDSH%,MDSV%,LDCF/60,LDCA/60,LDCF%,LDSF/60,LDSA/60,LDSF%,LDGF/60,LDGA/60,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Date
Philadelphia Flyers,1,54:00,0,1,0,0,0,0.0,55.56,66.67,45.45,42.22,55.56,43.18,24.44,37.78,39.29,0.0,7.78,0.0,2.19,3.84,36.38,23.33,37.78,38.18,10.0,22.22,31.03,0.0,4.44,0.0,0.0,80.0,8.89,18.89,32.0,5.56,12.22,31.25,0.0,4.44,0.00,0.0,63.64,14.44,18.89,43.33,4.44,10.0,30.77,0.0,0.0,-,0.0,100.0,27.78,26.67,51.02,14.44,13.33,52.0,0.0,3.33,0.00,0.0,75.0,0.0,79.41,0.794,2023-02-25
New Jersey Devils,1,54:00,1,0,0,1,2,1.0,66.67,55.56,54.55,55.56,42.22,56.82,37.78,24.44,60.71,7.78,0.0,100.0,3.84,2.19,63.62,37.78,23.33,61.82,22.22,10.0,68.97,4.44,0.0,100.0,20.0,100.0,18.89,8.89,68.0,12.22,5.56,68.75,4.44,0.0,100.00,36.36,100.0,18.89,14.44,56.67,10.0,4.44,69.23,0.0,0.0,-,0.0,100.0,26.67,27.78,48.98,13.33,14.44,48.0,3.33,0.0,100.00,25.0,100.0,20.59,100.0,1.206,2023-02-25
Tampa Bay Lightning,1,50:48,1,0,0,1,2,1.0,37.8,81.5,31.68,25.98,54.33,32.35,17.72,43.7,28.85,3.54,0.0,100.0,2.55,3.21,44.26,22.44,38.98,36.54,11.81,21.26,35.71,3.54,0.0,100.0,30.0,100.0,10.63,12.99,45.0,7.09,10.63,40.0,2.36,0.0,100.00,33.33,100.0,11.81,25.98,31.25,4.72,10.63,30.77,1.18,0.0,100.00,25.0,100.0,14.17,35.43,28.57,5.91,21.26,21.74,0.0,0.0,-,0.0,100.0,20.0,100.0,1.2,2023-02-25
Detroit Red Wings,1,50:48,0,1,0,0,0,0.0,81.5,37.8,68.32,54.33,25.98,67.65,43.7,17.72,71.15,0.0,3.54,0.0,3.21,2.55,55.74,38.98,22.44,63.46,21.26,11.81,64.29,0.0,3.54,0.0,0.0,70.0,12.99,10.63,55.0,10.63,7.09,60.0,0.0,2.36,0.00,0.0,66.67,25.98,11.81,68.75,10.63,4.72,69.23,0.0,1.18,0.00,0.0,75.0,35.43,14.17,71.43,21.26,5.91,78.26,0.0,0.0,-,0.0,100.0,0.0,80.0,0.8,2023-02-25
Pittsburgh Penguins,1,51:16,1,0,0,1,2,1.0,86.61,50.33,63.25,72.56,36.28,66.67,47.98,25.75,65.08,3.51,2.34,60.0,5.26,2.12,71.28,55.01,30.43,64.38,29.26,16.38,64.1,3.51,2.34,60.0,12.0,85.71,21.07,10.53,66.67,14.04,8.19,63.16,2.34,1.17,66.67,16.67,85.71,33.94,19.9,63.04,15.21,8.19,65.0,1.17,1.17,50.00,7.69,85.71,29.26,18.73,60.98,17.56,9.36,65.22,0.0,0.0,-,0.0,100.0,7.32,90.91,0.982,2023-02-25
St Louis Blues,1,51:16,0,0,1,0,1,0.5,50.33,86.61,36.75,36.28,72.56,33.33,25.75,47.98,34.92,2.34,3.51,40.0,2.12,5.26,28.72,30.43,55.01,35.62,16.38,29.26,35.9,2.34,3.51,40.0,14.29,88.0,10.53,21.07,33.33,8.19,14.04,36.84,1.17,2.34,33.33,14.29,83.33,19.9,33.94,36.96,8.19,15.21,35.0,1.17,1.17,50.00,14.29,92.31,18.73,29.26,39.02,9.36,17.56,34.78,0.0,0.0,-,0.0,100.0,9.09,92.68,1.018,2023-02-25
Calgary Flames,1,47:39,0,1,0,0,0,0.0,70.51,45.33,60.87,46.59,32.74,58.73,30.22,26.44,53.33,0.0,3.78,0.0,3.52,2.86,55.17,34.0,28.96,54.0,18.89,16.37,53.57,0.0,2.52,0.0,0.0,84.62,22.67,13.85,62.07,13.85,8.81,61.11,0.0,0.0,-,0.0,100.0,11.33,15.11,42.86,5.04,7.56,40.0,0.0,2.52,0.00,0.0,66.67,30.22,12.59,70.59,10.07,10.07,50.0,0.0,1.26,0.00,0.0,87.5,0.0,85.71,0.857,2023-02-25
Colorado Avalanche,1,47:39,1,0,0,1,2,1.0,45.33,70.51,39.13,32.74,46.59,41.27,26.44,30.22,46.67,3.78,0.0,100.0,2.86,3.52,44.83,28.96,34.0,46.0,16.37,18.89,46.43,2.52,0.0,100.0,15.38,100.0,13.85,22.67,37.93,8.81,13.85,38.89,0.0,0.0,-,0.0,100.0,15.11,11.33,57.14,7.56,5.04,60.0,2.52,0.0,100.00,33.33,100.0,12.59,30.22,29.41,10.07,10.07,50.0,1.26,0.0,100.00,12.5,100.0,14.29,100.0,1.143,2023-02-25
Dallas Stars,1,53:59,1,0,0,0,2,1.0,62.24,64.46,49.12,47.79,50.02,48.86,38.9,36.68,51.47,2.22,2.22,50.0,2.68,2.94,47.7,36.68,35.57,50.77,31.12,22.23,58.33,2.22,2.22,50.0,7.14,90.0,13.34,20.01,40.0,12.23,16.67,42.31,1.11,2.22,33.33,9.09,86.67,23.34,15.56,60.0,18.89,5.56,77.27,1.11,0.0,100.00,5.88,100.0,24.45,21.12,53.66,7.78,11.11,41.18,0.0,0.0,-,0.0,100.0,5.71,93.94,0.997,2023-02-25
Vegas Golden Knights,1,53:59,0,0,1,0,1,0.5,64.46,62.24,50.88,50.02,47.79,51.14,36.68,38.9,48.53,2.22,2.22,50.0,2.94,2.68,52.3,35.57,36.68,49.23,22.23,31.12,41.67,2.22,2.22,50.0,10.0,92.86,20.01,13.34,60.0,16.67,12.23,57.69,2.22,1.11,66.67,13.33,90.91,15.56,23.34,40.0,5.56,18.89,22.73,0.0,1.11,0.00,0.0,94.12,21.12,24.45,46.34,11.11,7.78,58.82,0.0,0.0,-,0.0,100.0,6.06,94.29,1.003,2023-02-25
Chicago Blackhawks,1,55:00,1,0,0,0,2,1.0,50.18,84.0,37.4,43.64,64.36,40.4,29.45,49.09,37.5,3.27,3.27,50.0,2.83,4.6,38.09,20.73,46.91,30.65,14.18,30.55,31.71,3.27,2.18,60.0,23.08,92.86,12.0,20.73,36.67,8.73,14.18,38.1,1.09,1.09,50.00,12.5,92.31,8.73,26.18,25.0,5.45,16.36,25.0,2.18,1.09,66.67,40.0,93.33,26.18,27.27,48.98,14.18,15.27,48.15,0.0,1.09,0.00,0.0,92.86,11.11,93.33,1.044,2023-02-25
San Jose Sharks,1,55:00,0,0,1,0,1,0.5,84.0,50.18,62.6,64.36,43.64,59.6,49.09,29.45,62.5,3.27,3.27,50.0,4.6,2.83,61.91,46.91,20.73,69.35,30.55,14.18,68.29,2.18,3.27,40.0,7.14,76.92,20.73,12.0,63.33,14.18,8.73,61.9,1.09,1.09,50.00,7.69,87.5,26.18,8.73,75.0,16.36,5.45,75.0,1.09,2.18,33.33,6.67,60.0,27.27,26.18,51.02,15.27,14.18,51.85,1.09,0.0,100.00,7.14,100.0,6.67,88.89,0.956,2023-02-25
Ottawa Senators,1,48:00,0,1,0,0,0,0.0,55.0,50.0,52.38,35.0,32.5,51.85,26.25,22.5,53.85,2.5,5.0,33.33,2.9,2.56,53.09,30.0,27.5,52.17,15.0,12.5,54.55,2.5,3.75,40.0,16.67,70.0,15.0,8.75,63.16,11.25,6.25,64.29,2.5,2.5,50.0,22.22,60.0,15.0,18.75,44.44,3.75,6.25,37.5,0.0,1.25,0.0,0.0,80.0,20.0,17.5,53.33,10.0,8.75,53.33,0.0,1.25,0.00,0.0,85.71,9.52,77.78,0.873,2022-12-18
Minnesota Wild,1,48:00,1,0,0,1,2,1.0,50.0,55.0,47.62,32.5,35.0,48.15,22.5,26.25,46.15,5.0,2.5,66.67,2.56,2.9,46.91,27.5,30.0,47.83,12.5,15.0,45.45,3.75,2.5,60.0,30.0,83.33,8.75,15.0,36.84,6.25,11.25,35.71,2.5,2.5,50.0,40.0,77.78,18.75,15.0,55.56,6.25,3.75,62.5,1.25,0.0,100.0,20.0,100.0,17.5,20.0,46.67,8.75,10.0,46.67,1.25,0.0,100.00,14.29,100.0,22.22,90.48,1.127,2022-12-18
Pittsburgh Penguins,1,49:33,0,1,0,0,0,0.0,52.07,54.49,48.86,42.38,41.17,50.72,23.01,31.48,42.22,1.21,3.63,25.0,2.7,2.8,49.09,24.22,24.22,50.0,12.11,14.53,45.45,1.21,2.42,33.33,10.0,83.33,14.53,9.69,60.0,7.27,7.27,50.0,0.0,1.21,0.0,0.0,83.33,9.69,14.53,40.0,4.84,7.27,40.0,1.21,1.21,50.0,25.0,83.33,24.22,27.85,46.51,7.27,16.95,30.0,0.0,1.21,0.00,0.0,92.86,5.26,88.46,0.937,2022-12-18
Carolina Hurricanes,1,49:33,1,0,0,1,2,1.0,54.49,52.07,51.14,41.17,42.38,49.28,31.48,23.01,57.78,3.63,1.21,75.0,2.8,2.7,50.91,24.22,24.22,50.0,14.53,12.11,54.55,2.42,1.21,66.67,16.67,90.0,9.69,14.53,40.0,7.27,7.27,50.0,1.21,0.0,100.0,16.67,100.0,14.53,9.69,60.0,7.27,4.84,60.0,1.21,1.21,50.0,16.67,75.0,27.85,24.22,53.49,16.95,7.27,70.0,1.21,0.0,100.00,7.14,100.0,11.54,94.74,1.063,2022-12-18
New York Rangers,1,57:52,1,0,0,1,2,1.0,45.62,57.03,44.44,38.36,41.47,48.05,25.92,29.03,47.17,6.22,1.04,85.71,2.27,2.11,51.83,26.96,23.85,53.06,15.55,13.48,53.57,4.15,0.0,100.0,26.67,100.0,13.48,9.33,59.09,7.26,6.22,53.85,3.11,0.0,100.0,42.86,100.0,13.48,14.52,48.15,8.29,7.26,53.33,1.04,0.0,100.0,12.5,100.0,15.55,24.88,38.46,9.33,14.52,39.13,2.07,1.04,66.67,22.22,92.86,24.0,96.43,1.204,2022-12-18
Chicago Blackhawks,1,57:52,0,1,0,0,0,0.0,57.03,45.62,55.56,41.47,38.36,51.95,29.03,25.92,52.83,1.04,6.22,14.29,2.11,2.27,48.17,23.85,26.96,46.94,13.48,15.55,46.43,0.0,4.15,0.0,0.0,73.33,9.33,13.48,40.91,6.22,7.26,46.15,0.0,3.11,0.0,0.0,57.14,14.52,13.48,51.85,7.26,8.29,46.67,0.0,1.04,0.0,0.0,87.5,24.88,15.55,61.54,14.52,9.33,60.87,1.04,2.07,33.33,7.14,77.78,3.57,76.0,0.796,2022-12-18
Winnipeg Jets,1,49:49,0,1,0,0,0,0.0,34.93,65.04,34.94,20.48,46.97,30.36,12.04,33.72,26.32,0.0,3.61,0.0,1.1,2.61,29.71,9.64,32.52,22.86,6.02,19.27,23.81,0.0,3.61,0.0,0.0,81.25,4.82,10.84,30.77,3.61,7.23,33.33,0.0,1.2,0.0,0.0,83.33,4.82,21.68,18.18,2.41,12.04,16.67,0.0,2.41,0.0,0.0,80.0,19.27,25.29,43.24,4.82,14.45,25.0,0.0,0.0,-,0.0,100.0,0.0,89.29,0.893,2022-12-18
Seattle Kraken,1,49:49,1,0,0,1,2,1.0,65.04,34.93,65.06,46.97,20.48,69.64,33.72,12.04,73.68,3.61,0.0,100.0,2.61,1.1,70.29,32.52,9.64,77.14,19.27,6.02,76.19,3.61,0.0,100.0,18.75,100.0,10.84,4.82,69.23,7.23,3.61,66.67,1.2,0.0,100.0,16.67,100.0,21.68,4.82,81.82,12.04,2.41,83.33,2.41,0.0,100.0,20.0,100.0,25.29,19.27,56.76,14.45,4.82,75.0,0.0,0.0,-,0.0,100.0,10.71,100.0,1.107,2022-12-18
Calgary Flames,1,45:53,1,0,0,1,2,1.0,57.54,36.61,61.11,43.15,31.38,57.89,28.77,19.61,59.46,5.23,0.0,100.0,3.07,2.46,55.51,35.31,23.54,60.0,19.61,11.77,62.5,5.23,0.0,100.0,26.67,100.0,13.08,14.38,47.62,11.77,7.85,60.0,2.62,0.0,100.0,22.22,100.0,22.23,9.15,70.83,7.85,3.92,66.67,2.62,0.0,100.0,33.33,100.0,19.61,11.77,62.5,6.54,7.85,45.45,0.0,0.0,-,0.0,100.0,18.18,100.0,1.182,2022-12-18
San Jose Sharks,1,45:53,0,1,0,0,0,0.0,36.61,57.54,38.89,31.38,43.15,42.11,19.61,28.77,40.54,0.0,5.23,0.0,2.46,3.07,44.49,23.54,35.31,40.0,11.77,19.61,37.5,0.0,5.23,0.0,0.0,73.33,14.38,13.08,52.38,7.85,11.77,40.0,0.0,2.62,0.0,0.0,77.78,9.15,22.23,29.17,3.92,7.85,33.33,0.0,2.62,0.0,0.0,66.67,11.77,19.61,37.5,7.85,6.54,54.55,0.0,0.0,-,0.0,100.0,0.0,81.82,0.818,2022-12-18
San Jose Sharks,82,51:01,22,44,16,21,60,0.366,56.5,59.81,48.58,41.22,44.18,48.27,29.12,31.62,47.95,2.68,3.71,41.93,3.01,3.08,49.42,32.21,31.42,50.62,18.15,18.12,50.04,2.21,3.21,40.74,12.16,82.28,14.31,12.53,53.31,9.41,8.7,51.94,1.43,1.81,44.25,15.24,79.24,17.9,18.88,48.65,8.75,9.42,48.15,0.77,1.41,35.53,8.85,85.08,20.16,24.03,45.62,9.65,11.97,44.63,0.39,0.43,47.37,4.01,96.41,9.21,88.25,0.975,2023-07-04
Nashville Predators,82,50:15,42,32,8,36,92,0.561,56.45,61.68,47.79,41.31,45.68,47.49,29.04,32.2,47.42,2.52,2.65,48.73,2.81,3.08,47.72,29.0,32.16,47.42,16.03,18.49,46.44,2.02,2.21,47.77,12.62,88.03,11.75,12.72,48.01,8.01,8.81,47.62,1.34,1.34,50.0,16.73,84.79,17.25,19.43,47.02,8.02,9.68,45.31,0.68,0.87,43.93,8.53,90.98,23.29,24.85,48.38,11.73,12.1,49.24,0.41,0.39,50.91,3.47,96.75,8.67,91.77,1.004,2023-07-04
Tampa Bay Lightning,82,50:03,46,30,6,43,98,0.598,59.15,55.45,51.61,44.18,41.62,51.49,31.15,30.77,50.31,2.95,2.75,51.79,3.08,2.85,51.99,33.04,28.84,53.39,18.77,17.02,52.45,2.4,2.18,52.4,12.77,87.2,14.37,11.87,54.76,9.71,8.67,52.82,1.7,1.29,56.86,17.47,85.16,18.67,16.97,52.38,9.06,8.35,52.06,0.7,0.89,44.04,7.74,89.32,22.75,23.01,49.71,11.21,12.47,47.35,0.47,0.53,47.06,4.17,95.78,9.48,91.07,1.005,2023-07-04
New York Rangers,82,51:24,47,22,13,43,107,0.652,55.41,55.31,50.04,41.15,40.43,50.44,29.56,29.05,50.44,2.93,2.41,54.93,2.73,2.74,49.83,28.65,29.31,49.44,15.99,16.6,49.06,2.38,1.94,55.12,14.87,88.34,11.99,12.77,48.42,8.23,8.88,48.09,1.59,1.31,54.9,19.38,85.26,16.67,16.54,50.19,7.76,7.71,50.14,0.78,0.63,55.56,10.09,91.88,22.76,21.44,51.5,12.33,11.06,52.71,0.51,0.46,52.94,4.16,95.88,9.92,91.72,1.016,2023-07-04
Vegas Golden Knights,82,52:56,51,22,9,46,111,0.677,56.46,60.72,48.18,41.05,42.69,49.02,29.95,30.05,49.92,2.94,2.45,54.62,2.78,2.7,50.69,27.77,29.58,48.42,16.35,15.78,50.88,2.49,2.0,55.38,15.22,87.3,12.14,11.03,52.39,8.64,7.71,52.83,1.6,1.2,57.14,18.56,84.41,15.63,18.55,45.73,7.71,8.07,48.86,0.88,0.8,52.46,11.47,90.07,22.94,26.07,46.81,11.69,12.63,48.07,0.36,0.37,49.06,3.07,97.05,9.83,91.86,1.017,2023-07-04
Los Angeles Kings,82,50:29,47,25,10,41,104,0.634,58.85,54.2,52.06,44.19,38.56,53.4,31.91,26.68,54.46,2.88,2.61,52.51,2.84,2.53,52.93,30.84,27.94,52.47,18.0,14.98,54.57,2.35,2.16,52.09,13.04,85.59,13.03,11.14,53.9,9.12,7.49,54.89,1.42,1.41,50.26,15.58,81.24,17.81,16.8,51.47,8.88,7.49,54.25,0.93,0.75,55.17,10.44,89.94,23.93,21.62,52.53,12.62,10.12,55.51,0.42,0.43,49.15,3.33,95.7,9.04,90.22,0.993,2023-07-04
Boston Bruins,82,49:36,65,12,5,61,135,0.823,57.37,55.85,50.67,43.36,41.39,51.17,31.95,29.65,51.87,3.41,1.92,63.99,2.96,2.56,53.65,31.47,28.39,52.57,18.78,15.87,54.19,2.82,1.62,63.46,15.0,89.78,12.8,11.49,52.7,9.28,8.22,53.04,1.65,1.08,60.54,17.81,86.89,18.67,16.9,52.49,9.5,7.65,55.37,1.17,0.55,68.1,12.27,92.87,22.64,23.27,49.31,11.75,11.87,49.75,0.5,0.24,68.0,4.27,98.01,10.66,93.53,1.042,2023-07-04
Washington Capitals,82,51:11,35,37,10,33,80,0.488,58.25,58.78,49.77,42.71,43.4,49.6,30.46,30.5,49.96,2.82,3.03,48.17,2.83,3.01,48.41,28.79,29.35,49.52,16.71,16.88,49.74,2.43,2.42,50.15,14.54,85.69,11.98,12.31,49.32,8.51,8.42,50.25,1.52,1.63,48.18,17.82,80.65,16.81,17.04,49.66,8.2,8.46,49.23,0.91,0.79,53.78,11.15,90.71,24.09,24.49,49.59,11.82,12.05,49.52,0.3,0.53,36.21,2.54,95.61,9.24,90.07,0.993,2023-07-04
Columbus Blue Jackets,82,51:22,25,48,9,24,59,0.36,54.17,65.48,45.27,39.68,48.63,44.94,28.25,34.67,44.89,2.38,3.72,39.02,2.56,3.18,44.57,26.49,32.83,44.66,15.31,18.67,45.05,1.88,3.08,37.93,12.28,83.52,10.58,13.4,44.12,7.36,9.33,44.11,1.13,1.94,36.74,15.28,79.24,15.91,19.43,45.02,7.95,9.34,45.96,0.75,1.14,39.85,9.5,87.8,22.72,27.73,45.03,11.39,14.5,44.0,0.44,0.54,44.93,3.88,96.27,8.42,89.28,0.977,2023-07-04
Carolina Hurricanes,82,50:23,52,21,9,48,113,0.689,67.93,45.15,60.07,50.82,34.7,59.42,34.34,25.16,57.71,2.9,2.38,54.95,3.28,2.33,58.49,33.04,22.4,59.6,18.41,13.94,56.91,2.38,2.05,53.77,12.93,85.31,14.84,10.74,58.0,10.09,7.62,56.97,1.63,1.23,56.85,16.12,83.81,18.21,11.66,60.96,8.32,6.32,56.85,0.75,0.81,48.15,9.08,87.13,29.15,17.73,62.19,14.77,9.23,61.52,0.44,0.29,60.0,2.95,96.86,8.46,90.54,0.99,2023-07-04
Toronto Maple Leafs,82,50:21,50,21,11,49,111,0.677,57.09,55.74,50.6,43.19,40.7,51.48,30.98,28.68,51.92,2.99,2.43,55.23,3.03,2.69,53.02,32.24,28.19,53.35,18.24,15.46,54.12,2.53,2.02,55.59,13.86,86.94,13.88,11.97,53.68,9.75,8.12,54.55,1.63,1.1,59.57,16.69,86.4,18.37,16.22,53.11,8.49,7.34,53.63,0.9,0.92,49.6,10.62,87.52,21.69,23.44,48.07,11.65,11.7,49.91,0.41,0.33,54.9,3.49,97.14,9.66,91.54,1.012,2023-07-04
Montreal Canadiens,82,50:15,31,45,6,26,68,0.415,51.73,61.65,45.63,37.42,44.61,45.62,27.18,32.29,45.7,2.64,3.31,44.36,2.44,3.26,42.79,24.93,32.45,43.44,14.01,18.7,42.83,2.11,2.9,42.15,15.07,84.5,10.26,14.01,42.29,7.0,9.8,41.68,1.28,2.01,38.94,18.3,79.49,14.66,18.45,44.28,7.0,8.9,44.05,0.83,0.89,48.31,11.85,90.02,21.97,24.1,47.69,11.69,12.24,48.84,0.45,0.32,58.49,3.86,97.38,9.69,89.77,0.995,2023-07-04
Chicago Blackhawks,82,51:13,26,49,7,24,59,0.36,48.44,61.81,43.94,36.25,45.92,44.12,25.83,33.25,43.71,2.23,3.34,40.0,2.33,3.11,42.86,23.27,32.31,41.87,13.74,18.58,42.51,1.96,2.64,42.55,14.24,85.78,9.47,13.1,41.96,6.59,9.41,41.16,1.26,1.71,42.31,19.09,81.79,13.8,19.21,41.8,7.16,9.17,43.83,0.7,0.93,42.98,9.78,89.88,20.75,24.81,45.55,10.73,13.18,44.86,0.24,0.57,29.82,2.26,95.67,8.63,89.95,0.986,2023-07-04
Colorado Avalanche,82,50:34,51,24,7,45,109,0.665,60.39,55.03,52.32,43.63,41.04,51.53,32.57,30.41,51.71,2.95,2.4,55.14,2.76,2.6,51.56,29.6,26.08,53.16,17.48,15.62,52.8,2.34,1.92,54.92,13.41,87.69,11.68,11.82,49.69,8.56,8.38,50.56,1.58,1.23,56.19,18.41,85.32,17.92,14.26,55.69,8.91,7.25,55.15,0.77,0.69,52.48,8.6,90.42,26.52,23.73,52.78,13.9,13.22,51.25,0.52,0.41,56.25,3.75,96.94,9.06,92.1,1.012,2023-07-04
