Team,GP,TOI/GP,W,L,OTL,ROW,Points,Point %,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,SCSF/60,SCSA/60,SCSF%,SCGF/60,SCGA/60,SCGF%,SCSH%,SCSV%,HDCF/60,HDCA/60,HDCF%,HDSF/60,HDSA/60,HDSF%,HDGF/60,HDGA/60,HDGF%,HDSH%,HDSV%,MDCF/60,MDCA/60,MDCF%,MDSF/60,MDSA/60,MDSF%,MDGF/60,MDGA/60,MDGF%,MDSH%,MDSV%,LDCF/60,LDCA/60,LDCF%,LDSF/60,LDSA/60,LDSF%,LDGF/60,LDGA/60,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Date
Edmonton Oilers,1,45:55,0,1,0,0,0,0.0,90.16,48.35,65.09,69.26,40.51,63.1,52.27,26.13,66.67,3.92,6.53,37.5,4.58,2.97,60.63,44.43,27.44,61.82,26.13,16.99,60.61,3.92,6.53,37.5,15.0,61.54,22.21,11.76,65.38,14.37,9.15,61.11,1.31,2.61,33.33,9.09,71.43,22.21,15.68,58.62,11.76,7.84,60.0,2.61,3.92,40.00,22.22,50.0,39.2,16.99,69.77,24.83,6.53,79.17,0.0,0.0,-,0.0,100.0,7.5,75.0,0.825,2023-02-25
Columbus Blue Jackets,1,45:55,1,0,0,1,2,1.0,48.35,90.16,34.91,40.51,69.26,36.9,26.13,52.27,33.33,6.53,3.92,62.5,2.97,4.58,39.37,27.44,44.43,38.18,16.99,26.13,39.39,6.53,3.92,62.5,38.46,85.0,11.76,22.21,34.62,9.15,14.37,38.89,2.61,1.31,66.67,28.57,90.91,15.68,22.21,41.38,7.84,11.76,40.0,3.92,2.61,60.00,50.0,77.78,16.99,39.2,30.23,6.53,24.83,20.83,0.0,0.0,-,0.0,100.0,25.0,92.5,1.175,2023-02-25
New York Rangers,1,49:09,0,1,0,0,0,0.0,62.26,59.82,51.0,45.17,46.39,49.33,26.86,29.3,47.83,2.44,6.1,28.57,4.33,3.36,56.29,30.52,37.84,44.64,14.65,19.53,42.86,2.44,6.1,28.57,16.67,68.75,15.87,20.75,43.33,10.99,14.65,42.86,2.44,4.88,33.33,22.22,66.67,14.65,17.09,46.15,3.66,4.88,42.86,0.0,1.22,0.00,0.0,75.0,25.64,19.53,56.76,12.21,8.55,58.82,0.0,0.0,-,0.0,100.0,9.09,79.17,0.883,2023-02-25
Washington Capitals,1,49:09,1,0,0,1,2,1.0,59.82,62.26,49.0,46.39,45.17,50.67,29.3,26.86,52.17,6.1,2.44,71.43,3.36,4.33,43.71,37.84,30.52,55.36,19.53,14.65,57.14,6.1,2.44,71.43,31.25,83.33,20.75,15.87,56.67,14.65,10.99,57.14,4.88,2.44,66.67,33.33,77.78,17.09,14.65,53.85,4.88,3.66,57.14,1.22,0.0,100.00,25.0,100.0,19.53,25.64,43.24,8.55,12.21,41.18,0.0,0.0,-,0.0,100.0,20.83,90.91,1.117,2023-02-25
Anaheim Ducks,1,50:18,1,0,0,1,2,1.0,29.82,85.88,25.77,22.66,67.99,25.0,15.51,52.49,22.81,3.58,2.39,60.0,1.59,4.36,26.68,14.31,38.17,27.27,8.35,25.05,25.0,2.39,2.39,50.0,28.57,90.48,7.16,23.86,23.08,5.96,17.89,25.0,2.39,2.39,50.00,40.0,86.67,7.16,14.31,33.33,2.39,7.16,25.0,0.0,0.0,-,0.0,100.0,9.54,42.94,18.18,4.77,27.44,14.81,1.19,0.0,100.00,25.0,100.0,23.08,95.45,1.185,2023-02-25
Carolina Hurricanes,1,50:18,0,1,0,0,0,0.0,85.88,29.82,74.23,67.99,22.66,75.0,52.49,15.51,77.19,2.39,3.58,40.0,4.36,1.59,73.32,38.17,14.31,72.73,25.05,8.35,75.0,2.39,2.39,50.0,9.52,71.43,23.86,7.16,76.92,17.89,5.96,75.0,2.39,2.39,50.00,13.33,60.0,14.31,7.16,66.67,7.16,2.39,75.0,0.0,0.0,-,0.0,100.0,42.94,9.54,81.82,27.44,4.77,85.19,0.0,1.19,0.00,0.0,75.0,4.55,76.92,0.815,2023-02-25
Boston Bruins,1,48:13,1,0,0,1,2,1.0,54.75,48.53,53.01,41.06,39.82,50.77,33.6,28.62,54.0,2.49,1.24,66.67,2.7,2.69,50.09,29.87,23.64,55.81,17.42,13.69,56.0,1.24,1.24,50.0,7.14,90.91,4.98,11.2,30.77,3.73,8.71,30.0,0.0,1.24,0.00,0.0,85.71,24.89,12.44,66.67,13.69,4.98,73.33,1.24,0.0,100.00,9.09,100.0,23.64,19.91,54.29,14.93,11.2,57.14,0.0,0.0,-,0.0,100.0,7.41,95.65,1.031,2023-02-25
Vancouver Canucks,1,48:13,0,1,0,0,0,0.0,48.53,54.75,46.99,39.82,41.06,49.23,28.62,33.6,46.0,1.24,2.49,33.33,2.69,2.7,49.91,23.64,29.87,44.19,13.69,17.42,44.0,1.24,1.24,50.0,9.09,92.86,11.2,4.98,69.23,8.71,3.73,70.0,1.24,0.0,100.00,14.29,100.0,12.44,24.89,33.33,4.98,13.69,26.67,0.0,1.24,0.00,0.0,90.91,19.91,23.64,45.71,11.2,14.93,42.86,0.0,0.0,-,0.0,100.0,4.35,92.59,0.969,2023-02-25
Ottawa Senators,1,52:00,1,0,0,1,2,1.0,62.31,51.92,54.55,43.85,40.38,52.05,24.23,31.15,43.75,5.77,2.31,71.43,3.12,2.2,58.61,31.15,23.08,57.45,16.15,12.69,56.0,5.77,2.31,71.43,35.71,81.82,11.54,6.92,62.5,8.08,3.46,70.0,3.46,2.31,60.00,42.86,33.33,19.62,16.15,54.84,8.08,9.23,46.67,2.31,0.0,100.00,28.57,100.0,27.69,23.08,54.55,8.08,15.0,35.0,0.0,0.0,-,0.0,100.0,23.81,92.59,1.164,2023-02-25
Montreal Canadiens,1,52:00,0,1,0,0,0,0.0,51.92,62.31,45.45,40.38,43.85,47.95,31.15,24.23,56.25,2.31,5.77,28.57,2.2,3.12,41.39,23.08,31.15,42.55,12.69,16.15,44.0,2.31,5.77,28.57,18.18,64.29,6.92,11.54,37.5,3.46,8.08,30.0,2.31,3.46,40.00,66.67,57.14,16.15,19.62,45.16,9.23,8.08,53.33,0.0,2.31,0.00,0.0,71.43,23.08,27.69,45.45,15.0,8.08,65.0,0.0,0.0,-,0.0,100.0,7.41,76.19,0.836,2023-02-25
